domain,order_id,GERP_CUSTOMER_PO_NO,state,STATUS,create_date,number_of_days,reported_date,dr_id,environment
BR,67001889071,ORDER_67001889071,payment_review,Payment Review,2025-05-27 04:36:01,30,2025-06-26 01:01:38,,GPOne
SA,62000085875,ORDER_62000085875,processing,Payment Review,2025-05-29 01:06:24,28,2025-06-26 01:01:38,,GPOne
SA,62000086103,ORDER_62000086103,processing,Payment Review,2025-05-29 11:21:50,28,2025-06-26 01:01:38,,GPOne
SA,62000086142,ORDER_62000086142,processing,Payment Review,2025-05-30 02:37:16,27,2025-06-26 01:01:38,,GPOne
SA_EN,65000025065,ORDER_65000025065,processing,Payment Review,2025-05-31 03:01:30,26,2025-06-26 01:01:38,,GPOne
SA,62000086766,ORDER_62000086766,processing,Payment Review,2025-05-31 05:58:58,26,2025-06-26 01:01:38,,GPOne
SA,62000086787,ORDER_62000086787,processing,Payment Review,2025-05-31 06:25:18,26,2025-06-26 01:01:38,,GPOne
SA,62000087036,ORDER_62000087036,processing,Payment Review,2025-06-01 12:31:01,25,2025-06-26 01:01:38,,GPOne
SA_EN,65000025182,ORDER_65000025182,processing,Payment Review,2025-06-01 02:02:18,25,2025-06-26 01:01:38,,GPOne
SA,62000087159,ORDER_62000087159,processing,Payment Review,2025-06-01 05:38:49,25,2025-06-26 01:01:38,,GPOne
SA,62000087243,ORDER_62000087243,processing,Payment Review,2025-06-01 08:43:24,25,2025-06-26 01:01:38,,GPOne
SA,62000087423,ORDER_62000087423,processing,Payment Review,2025-06-02 08:18:40,24,2025-06-26 01:01:38,,GPOne
SA,62000088116,ORDER_62000088116,processing,Payment Review,2025-06-03 05:52:51,23,2025-06-26 01:01:38,,GPOne
SA,62000088284,ORDER_62000088284,processing,Payment Review,2025-06-04 12:00:38,22,2025-06-26 01:01:38,,GPOne
SA_EN,65000025425,ORDER_65000025425,processing,Payment Review,2025-06-04 08:25:19,22,2025-06-26 01:01:38,,GPOne
SA,62000088524,ORDER_62000088524,processing,Payment Review,2025-06-04 08:05:16,22,2025-06-26 01:01:38,,GPOne
SA,62000088830,ORDER_62000088830,processing,Payment Review,2025-06-05 07:20:02,21,2025-06-26 01:01:38,,GPOne
SA,62000088949,ORDER_62000088949,processing,Payment Review,2025-06-06 11:07:52,20,2025-06-26 01:01:38,,GPOne
SA,62000089186,ORDER_62000089186,processing,Payment Review,2025-06-07 09:14:35,19,2025-06-26 01:01:38,,GPOne
